"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"11.02.2025","36,0220","35,9816","36,1397","35,8455","","0,08%"
"10.02.2025","35,9933","35,9915","36,2224","35,7370","","0,02%"
"07.02.2025","35,9863","35,8850","36,1475","35,4093","","0,35%"
"06.02.2025","35,8625","35,9121","35,9847","35,7731","","-0,05%"
"05.02.2025","35,8787","35,9449","36,0876","35,7940","","-0,14%"
"04.02.2025","35,9301","35,9599","36,1196","35,7977","","-0,03%"
"03.02.2025","35,9406","35,7849","36,1233","35,6835","","0,68%"
"31.01.2025","35,6977","35,7865","36,0191","35,4788","","-0,20%"
"30.01.2025","35,7677","35,8073","35,8669","35,6712","","-0,09%"
"29.01.2025","35,7982","35,7305","35,8628","35,6450","","0,30%"
"28.01.2025","35,6922","35,7442","35,8809","35,6246","","-0,13%"
"27.01.2025","35,7385","35,6644","35,8529","35,5668","","0,26%"
"24.01.2025","35,6454","35,6490","35,7739","35,5384","","0,07%"
"23.01.2025","35,6201","35,6562","35,7437","35,5352","","-0,05%"
"22.01.2025","35,6380","35,6116","35,7296","35,5285","","0,55%"
"21.01.2025","35,4420","35,5708","35,7319","35,4609","","-0,32%"
"20.01.2025","35,5563","35,5004","35,7091","35,4195","","0,35%"
"17.01.2025","35,4307","35,4337","35,7308","35,2706","","0,01%"
"16.01.2025","35,4287","35,4525","35,5462","35,3323","","-0,05%"
"15.01.2025","35,4473","35,4739","35,6071","35,3634","","-0,07%"
"14.01.2025","35,4711","35,4852","35,5949","35,3775","","0,00%"
"13.01.2025","35,4709","35,4013","35,5833","35,2945","","0,24%"
